DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2009,48.86323728,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,44.33995053,53.91345702,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2010,47.42677458,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,42.88633503,52.47196332,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2011,45.99716167,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,41.27920099,51.13870448,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2012,44.60328029,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,39.60915053,50.06580275,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2013,43.22085981,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,37.97222077,49.04589524,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2014,41.86161611,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,36.22710526,48.04055691,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2015,40.54219206,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,34.51794442,47.04884994,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2016,39.32772136,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,32.74539595,46.24278753,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2017,38.1856932,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,31.12900223,45.6356212,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2018,37.19483121,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,29.53222937,45.38846839,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2019,36.12959417,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,27.99565927,45.28144917,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRM0: Neonatal mortality rate,_T: Total,2020,35.19227301,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,26.4610585,45.43075899,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1961,225.8351125,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,190.9729726,268.6920569,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1962,221.7633529,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,189.6569355,261.0208978,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1963,217.8750015,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,188.1099746,254.6770216,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1964,214.2178726,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,186.0513505,248.6039599,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1965,210.6160553,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,183.3331415,243.2937108,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1966,207.0221479,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,180.627422,238.0198945,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1967,203.2321601,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,177.8240361,233.4504777,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1968,199.5784796,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,174.6805032,229.5621987,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1969,196.0794594,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,171.62199,225.3967681,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1970,192.4438563,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,168.3372288,221.6889621,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1971,188.8134562,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,165.4215707,217.7986239,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1972,185.0714849,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,162.2488257,213.6090983,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1973,181.2918959,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,159.4726788,209.3225258,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1974,177.675537,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,156.5995856,204.6266699,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1975,174.0433793,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,153.4429118,200.1346274,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1976,170.3062782,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,150.327089,195.4995348,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1977,166.4637375,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,147.2359399,190.4675189,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1978,162.5985737,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,144.158227,185.6661414,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1979,158.585993,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,140.8083039,180.8044076,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1980,154.6106011,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,137.7365047,175.7728286,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1981,150.5984313,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,134.3595397,170.9965498,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1982,146.5124044,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,131.220523,165.734058,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1983,142.4721413,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,127.8727901,160.4487893,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1984,138.5141838,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,124.5658241,155.4013925,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1985,134.4850358,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,121.5310145,150.0595689,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1986,130.5810486,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,118.3132383,144.9420575,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1987,126.5469329,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,115.0538786,139.8677889,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1988,122.6356859,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,111.8740108,135.0568063,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1989,118.6901632,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,108.6504004,130.226629,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1990,114.8685341,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,105.6525622,125.4970059,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1991,111.1374849,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,102.5226987,120.9258861,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1992,107.6748289,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,99.38597328,116.6202659,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1993,104.2655749,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,96.35158199,112.5817204,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1994,101.0726944,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,93.52859592,109.009756,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1995,98.10503003,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,90.85593807,105.634677,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1996,95.117528,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,88.26112856,102.2956098,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1997,92.41911984,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,85.88260377,99.36096062,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1998,89.87988078,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,83.7398955,96.60576997,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,1999,87.42932746,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,81.49896677,93.91885314,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2000,85.02213042,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,79.39401104,91.4516739,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2001,82.67127565,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,77.18025932,88.93405335,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2002,80.36588566,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,74.9966425,86.36401452,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2003,77.8165399,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,72.6117836,83.64792869,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2004,75.25944144,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,70.18695517,80.81749136,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2005,72.70258648,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,67.77658291,77.93471674,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2006,70.06973504,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,65.30658713,75.1772406,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2007,67.49352848,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,62.87302079,72.47694817,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2008,64.96848669,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,60.39116312,69.90560068,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2009,62.57834896,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,57.97409664,67.59154336,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2010,60.26136284,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,55.53172995,65.31672506,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2011,57.94454914,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,53.09184055,63.23558424,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2012,55.73961103,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,50.67894245,61.24984641,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2013,53.5879657,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,48.19470263,59.37171948,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2014,51.55339828,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,45.77645389,57.62650497,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,F: Female,2015,49.5894112,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,43.36626783,56.0063547,,,,UN_IGME,,,,,,_T: Total
